Country ;Short;League ;Hour;Status;Home Team;Result Home;Result Visitor;Visitor Team;Result Home HT;Result Visitor HT;Odds;Odds;Odds;Odds;Odds;Odds;Odds;Odds;Odds;Odds;Odds;Odds;Odds;Casa | Fora;Casa | Fora;Global;Casa | Fora;Global;Casa | Fora;Casa | Fora;Casa | Fora;Casa | Fora;Casa | Fora
Turkey;TUR;1. Lig;01/02/2026 13:00;FT;Amed SK;7;0;Adana Demirspor;3;0;1.02;33.67;1.01;1.03;9.75;3.86;1.07;6.00;67 | 3;;;;;2 | 20;4.2;60 | 0;2.9;1.6 | 0.9;1.3 | 4.7;0.5 | 2.4;;;
Malaysia;MAS;Super League;01/02/2026 09:15;FT;Johor Darul Ta'zim;5;0;Imigresen;1;0;1.03;41.00;;1.01;7.20;3.82;1.07;2.05;93 | 47;;;;;1 | 9;3.4;90 | 40;3.3;3.2 | 1.9;0.3 | 1.4;0.2 | 0.9;;;
Spain;ESP;Primera Division Women;01/02/2026 12:30;FT;Barcelona W;4;1;Sevilla W;2;0;1.01;67.43;1.00;1.02;6.17;3.48;1.08;4.78;100 | 57;;;;;1 | 6;3.7;100 | 50;2.9;4.2 | 1.5;0.5 | 1.2;0.2 | 0.7;;;
Cambodia;CAM;C-League;01/02/2026 08:00;FT;Phnom Penh Crown;1;0;Dangkor Senchey;0;0;1.11;13.22;1.01;1.05;3.98;2.35;1.20;1.66;77 | 20;;;;;2 | 11;3.6;70 | 10;3.2;2.1 | 1.2;1 | 2.9;0.7 | 1.7;;;
International;INT;FIFA Women's Champions Cup;01/02/2026 11:45;FT;FAR Rabat W;0;4;Gotham FC W;0;3;36.45;1.02;1.01;1.05;3.92;2.31;1.20;2.47;77 | 43;;;;;;2.5;70 | 30;1.5;2.1 | 1;0.9 | 1;0.6 | 0.6;;;
Hong Kong;HKG;Premier League;01/02/2026 04:00;FT;Wofoo Tai Po;2;0;Hong Kong FC;1;0;1.07;19.04;;1.01;3.60;2.29;1.20;1.97;40 | 13;;;;;4 | 10;3.4;30 | 10;2.9;1.5 | 0.8;1.8 | 2.8;0.9 | 1.5;;;
Hong Kong;HKG;Premier League;01/02/2026 04:00;FT;Kowloon City;1;4;Lee Man FC;0;2;8.52;1.23;1.01;1.01;3.70;2.21;1.22;1.48;27 | 80;;;;;9 | 3;3.5;20 | 70;2.9;0.8 | 3.2;1.9 | 1.1;1 | 0.4;;;
Cambodia;CAM;C-League;01/02/2026 08:00;FT;Svay Rieng;6;3;National Defense;4;0;1.09;15.90;1.01;1.05;3.66;2.14;1.23;1.86;67 | 23;;;;;1 | 8;3.9;60 | 20;3.2;2.6 | 1;1.5 | 2.7;0.5 | 1.6;;;
Mexico;MEX;Liga Mx Women;01/02/2026 15:00;FT;América W;5;1;Pumas UNAM W;2;1;1.20;9.80;1.01;1.07;3.37;2.04;1.27;1.61;77 | 57;;;;;2 | 4;3.4;70 | 50;3.4;2.6 | 2.2;0.5 | 1.4;0.4 | 0.7;;;
England;ENG;Professional Development League;01/02/2026 09:00;FT;Brentford U21;1;0;Bristol City U21;1;0;1.41;5.13;;1.02;3.42;2.03;1.25;1.37;60 | 47;;;;;3 | 15;3.6;60 | 40;3.8;2.1 | 1.9;1.3 | 1.9;0.6 | 1.3;;;
Saudi Arabia;KSA;Pro League;01/02/2026 14:30;FT;Al Ittihad;1;0;Al Najma;1;0;1.18;10.40;1.01;1.06;3.33;1.95;1.30;1.74;67 | 17;;;;;6 | 18;2.6;60 | 0;3.1;1.7 | 1.1;0.8 | 1.7;0.5 | 1.1;;;
Turkey;TUR;3. Lig: Group 4;01/02/2026 09:00;FT;Ayvalıkgücü Belediyespor;4;1;Afjet Afyonspor;2;0;1.09;15.99;1.01;1.07;2.86;1.92;1.34;1.95;77 | 30;;;;;3 | 15;2.6;70 | 20;2.7;2.2 | 0.8;0.8 | 1.5;0.6 | 1;;;
Mexico;MEX;Liga Premier Serie A;01/02/2026 19:00;FT;Acatlán;3;2;Tritons Vallarta;3;1;3.57;1.70;1.01;1.12;2.99;1.90;1.34;1.35;20 | 47;;;;;14 | 6;3.4;20 | 40;2.8;1.7 | 1;2.9 | 1.2;1.1 | 0.7;;;
England;ENG;Premier League 2 Division One;01/02/2026 10:00;FT;Sunderland U21;3;2;Leicester U21;2;1;2.06;2.72;1.01;1.04;3.09;1.88;1.30;1.32;43 | 53;;;;;25 | 7;3.8;30 | 50;3.6;2.1 | 2.5;1.5 | 1.4;0.9 | 0.6;;;
World;WOR;Club Friendlies 3;01/02/2026 08:00;FT;Džiugas Telšiai;1;1;Harju Jalgpallikool;0;1;1.89;3.12;1.01;1.10;2.73;1.87;1.37;1.34;23 | 40;;;;;1 | 2;3.1;10 | 30;3.5;1.2 | 1.6;2 | 1.4;0.8 | 1;;;
Spain;ESP;La Liga;01/02/2026 10:00;FT;Real Madrid;2;1;Rayo Vallecano;1;0;1.24;10.41;1.01;1.08;3.10;1.87;1.36;1.73;70 | 47;;;;;2 | 16;3.6;70 | 40;2.6;2.8 | 1.2;1.5 | 1.6;1 | 1;;;
Turkey;TUR;Super Lig;01/02/2026 14:00;FT;Galatasaray;4;0;Kayserispor;2;0;1.22;10.76;1.01;1.09;2.99;1.86;1.36;1.71;67 | 37;;;;;1 | 17;2.3;60 | 20;2.6;1.9 | 0.6;1 | 1.1;0.5 | 0.6;;;
England;ENG;Premier League 2 Division One;01/02/2026 09:30;FT;Leeds United U21;0;4;Arsenal U21;0;1;3.13;1.87;1.01;1.06;2.84;1.85;1.35;1.34;23 | 47;;;;;18 | 17;3.4;20 | 40;3.6;1.1 | 1.5;1.9 | 2.2;1.3 | 1.3;;;
Portugal;POR;Liga Portugal;01/02/2026 15:00;FT;Sporting CP;2;1;Nacional;0;0;1.14;17.23;1.01;1.09;3.06;1.84;1.35;2.04;77 | 30;;;;;2 | 11;3.7;70 | 20;2.7;2.8 | 1.8;1 | 1.8;0.7 | 1;;;
San Marino;SMR;Campionato;01/02/2026 11:00;FT;Tre Fiori;2;0;Nacional;0;0;1.04;39.09;1.01;1.08;2.92;1.83;1.37;3.96;83 | 17;;;;;2 | 16;3;80 | 10;2.7;2.9 | 0.7;0.4 | 1.9;0.2 | 0.9;;;
